"t","X"
321.2,0.183849656717115
321.3,0.155361290731659
321.4,0.00646493238471413
321.5,-0.0748579612223735
321.6,-0.371134111276966
321.7,-0.201170877997685
321.8,-0.417197825100029
321.9,-0.871886460837286
322,-0.96460800058923
322.1,-1.31996694249885
322.2,-1.29626744394695
322.3,-1.50947562039872
322.4,-1.54131256629079
322.5,-1.13771144568253
322.6,-0.844891666523919
322.7,-0.692288352943998
322.8,-0.54856135630593
322.9,-0.533239494984439
323,-0.585013325365858
323.1,-0.365007286414159
323.2,-0.407457826709038
323.3,-0.318604575943494
323.4,-0.382469165428238
323.5,-0.881021165102401
323.6,-1.08860822328321
323.7,-1.12570287221546
323.8,-0.85240710523423
323.9,-1.28978350965234
324,-1.21478419641992
324.1,-1.22743679538559
324.2,-1.41564744782522
324.3,-0.827381625356504
324.4,-0.557368914435571
324.5,-0.544226417320858
324.6,-0.807614164478445
324.7,-0.966343859252595
324.8,-1.0698878852705
324.9,-1.17785881615524
325,-1.03409887624389
325.1,-1.2492837945285
325.2,-1.23606565445416
325.3,-1.10758326501211
325.4,-1.10679910832874
325.5,-1.29146160494983
325.6,-1.22986867449664
325.7,-1.24322253156845
325.8,-1.49382906512073
325.9,-1.39565776448754
326,-1.91696335918052
326.1,-1.93590717840128
326.2,-1.86269066581761
326.3,-1.88838586317902
326.4,-2.01561385323035
326.5,-2.01747192430428
326.6,-2.14886934104177
326.7,-1.93768267710216
326.8,-2.0155020947997
326.9,-2.02989259157469
327,-2.02209833270315
327.1,-2.06510638320455
327.2,-2.19800120179281
327.3,-2.21515100207809
327.4,-1.96400082755402
327.5,-2.06984857205471
327.6,-1.87634512843879
327.7,-2.11738072301684
327.8,-2.42296551839246
327.9,-2.17070501496918
328,-2.33588669323116
328.1,-2.02505027038001
328.2,-2.15751133258681
328.3,-1.86725842092819
328.4,-1.53434582872198
328.5,-1.41363510875576
328.6,-1.39998173109457
328.7,-1.40302412154936
328.8,-1.25332183183073
328.9,-1.50883789946183
329,-1.14173039466241
329.1,-1.39648565193723
329.2,-1.51523891306871
329.3,-1.30253780034342
329.4,-1.37005889560452
329.5,-0.822961365341876
329.6,-0.701696902626283
329.7,-0.664633867431939
329.8,-0.437529543927952
329.9,-0.151697539396621
330,0.107939291741324
330.1,-0.0799683182098783
330.2,-0.480594013348625
330.3,-0.612588935785728
330.4,-0.848915859721971
330.5,-0.847639689208414
330.6,-0.545548383205303
330.7,-0.478560636918078
330.8,-0.313879965042385
330.9,-0.586347000147005
331,-0.906112038601476
331.1,-0.947171935006812
331.2,-1.05117707456517
331.3,-1.0955568411047
331.4,-0.802726689833232
331.5,-0.772578888676744
331.6,-0.735627521304873
331.7,-0.970828430381604
331.8,-0.832143018856159
331.9,-0.677114800780283
332,-0.720894776253134
332.1,-0.921490463622287
332.2,-1.02111759272363
332.3,-0.935885256010252
332.4,-1.11532430365136
332.5,-1.1806164931319
332.6,-0.802657918877093
332.7,-0.526615548796977
332.8,-0.711339924818717
332.9,-0.506456481431707
333,-0.677817666025605
333.1,-1.23476417380776
333.2,-1.14945285452367
333.3,-1.14999897949128
333.4,-1.10126857721184
333.5,-1.21392280511099
333.6,-1.12603479030151
333.7,-1.11106524279518
333.8,-1.11111175946806
333.9,-1.10995504318256
334,-0.984743352196814
334.1,-0.846683518548242
334.2,-0.903318417127185
334.3,-1.08355293551022
334.4,-0.881192662551272
334.5,-0.802645485816234
334.6,-0.793571607554104
334.7,-0.917204031321881
334.8,-0.825631677951911
334.9,-0.732765147350249
335,-0.911691122827483
335.1,-0.60784144371756
335.2,-0.395866300863819
335.3,-0.314983802287974
335.4,-0.0494212050782727
335.5,-0.130197867756803
335.6,0.115427156935486
335.7,0.267201423327381
335.8,0.304259118808586
335.9,0.348315379983407
336,0.551067547797877
336.1,0.763282011878751
336.2,0.794324478950369
336.3,0.662709160832151
336.4,0.470315605746572
336.5,0.492308224196046
336.6,0.255777167111537
336.7,0.481093043975742
336.8,0.79436368747078
336.9,0.596606606174851
337,0.242360438755811
337.1,0.122926381984759
337.2,0.0427921310161752
337.3,0.112874656521029
337.4,0.338463371053982
337.5,0.296214272209814
337.6,0.103612106203089
337.7,-0.252103363773454
337.8,0.175675098661766
337.9,0.586678723333276
338,0.580169035884533
338.1,0.823525563771301
338.2,0.945389540742225
338.3,0.579925275636973
338.4,0.561498107892129
338.5,0.557574645149656
338.6,0.334769833826981
338.7,0.0106699290752111
338.8,-0.221901873045646
338.9,-0.204588592338965
339,0.0328758896417329
339.1,0.241553300812257
339.2,0.44504541147442
339.3,0.862817101502228
339.4,1.0333258135286
339.5,0.888443502887633
339.6,0.534951719357849
339.7,0.396009251913168
339.8,0.395180110792812
339.9,0.279374237662457
340,0.564445795747265
340.1,0.574226854087068
340.2,0.317482297064935
340.3,0.270833435624452
340.4,0.162973324919581
340.5,0.461483953253449
340.6,0.348649123865164
340.7,0.367066437981785
340.8,0.435149942365665
340.9,0.454868629755612
