"gamma1_true","replicate","n_events","mu_hat","alpha_hat","beta_hat","branching_hat","neg_loglik","convergence"
1.5,13,268,0.261839393433726,0.613451045495806,0.761872002440664,0.805189117765988,106.368016560449,0
1.5,14,277,0.309506324113271,0.686481063662785,0.88258457507559,0.777807683307847,97.400625432857,0
1.5,15,269,0.285139400658266,0.625321748362295,0.789417464745389,0.792130623261521,120.324923988577,0
1.5,16,262,0.195632143090061,0.683738360109682,0.799123570433044,0.855610302846111,89.28233966078,0
1.5,17,281,0.242973369651332,0.732520266541201,0.878394530692211,0.833930814623748,86.4533390695478,0
1.5,18,254,0.307559804897904,0.579779498928756,0.761676683143625,0.761188456676743,121.341354568859,0
1.5,19,265,0.311285745682671,0.63918196686238,0.826310261679778,0.773537491308663,108.181822985919,0
1.5,20,265,0.327419425451674,0.61337281461631,0.812805734928234,0.754636425726582,110.524970097664,0
1.5,21,263,0.291951276413238,0.763729786967667,0.980946571083531,0.778564102756451,98.4399531730221,0
1.5,22,267,0.306853716527485,0.559562198151982,0.719024192739173,0.778224437790182,121.657328992067,0
1.5,23,294,0.294597382895512,0.621432648864039,0.773166296724112,0.803750307659601,94.2558980230279,0
1.5,24,270,0.214229651206953,0.867357945061815,1.02806995767636,0.843675995573508,61.4449778542842,0
1.5,25,290,0.361241308969398,0.756557070539652,1.00749166470225,0.750931344690819,84.22625487856,0
1.5,26,289,0.297425865900296,0.548710942439816,0.686883260667755,0.798841628352372,99.6901497210053,0
1.5,27,284,0.252137799902535,0.748871938616629,0.910204271307947,0.822751509988537,66.4560770935993,0
1.5,28,270,0.232348595358184,0.659993931033782,0.792018498150913,0.833306207588128,91.0387582589153,0
1.5,29,270,0.242639698232696,0.69786700001587,0.846754403567915,0.824166956883026,94.2408067628692,0
1.5,30,265,0.334962209273077,0.702426751494157,0.939927494617409,0.747320144922535,107.597973914128,0
2,1,398,0.190621682969252,1.04320240739178,1.14714828278369,0.909387585762083,-118.396622572298,0
2,2,420,0.223454354695476,1.06914490803185,1.1901546132946,0.898324382470132,-140.788815581127,0
2,3,410,0.255358174857161,1.1453140815952,1.30264412859924,0.879222541636741,-128.212636924473,0
2,4,414,0.273216746738608,0.995267184963998,1.14418092194242,0.869851232333416,-97.8203036575838,0
