"branching_true","alpha_true","beta_true","replicate","n_events","observed_LR","branching_hat","p_empirical","p_corrected","reject","max_boot_LR","mean_boot_LR"
0.3,0.36,1.2,1,217,15.810462581079,0.401189590564415,0,0.0196078431372549,TRUE,7.96015197739757,1.02590407674462
0.3,0.36,1.2,2,203,12.1706577257509,0.264933437725032,0,0.0196078431372549,TRUE,6.84932639793453,0.952660267749241
0.3,0.36,1.2,3,217,9.92958130605723,0.393372916154521,0,0.0196078431372549,TRUE,4.78070457564615,0.760744061544016
0.3,0.36,1.2,4,253,25.2379913456066,0.335252791698831,0,0.0196078431372549,TRUE,5.53065850303912,1.03910846816441
0.3,0.36,1.2,5,231,19.1159814288031,0.341495535672988,0,0.0196078431372549,TRUE,9.07482816420779,0.823151122068708
0.3,0.36,1.2,6,215,16.7615416105942,0.304992503018264,0,0.0196078431372549,TRUE,5.32384955300387,0.976748396419408
0.3,0.36,1.2,7,206,10.5857828647899,0.288800705775772,0,0.0196078431372549,TRUE,7.15473688026731,1.04343216910614
0.3,0.36,1.2,8,214,25.6665512256522,0.405333531471338,0,0.0196078431372549,TRUE,8.160195091037,1.04233792850595
0.3,0.36,1.2,9,216,5.23191707171048,0.227653399293529,0.06,0.0784313725490196,FALSE,7.75349594828879,0.930280438674491
0.3,0.36,1.2,10,215,19.5548342810203,0.30390534582586,0,0.0196078431372549,TRUE,5.34219376163063,0.786459968834856
0.3,0.36,1.2,11,201,16.5808992513827,0.359613566838989,0,0.0196078431372549,TRUE,6.21466298838561,0.987139261906516
0.3,0.36,1.2,12,212,6.12295900129965,0.188629945720427,0.02,0.0392156862745098,TRUE,7.98875739569405,0.821761133711409
0.3,0.36,1.2,13,219,8.76038838151055,0.28340559605774,0,0.0196078431372549,TRUE,6.26287365834702,0.857973227335567
0.3,0.36,1.2,14,238,27.8592777966902,0.480686730617685,0,0.0196078431372549,TRUE,12.2935677701863,0.684823763725926
0.3,0.36,1.2,15,188,10.0793795045843,0.31840587233458,0,0.0196078431372549,TRUE,5.8267975123814,0.55164720834789
0.3,0.36,1.2,16,215,12.6091256287236,0.277169954016804,0,0.0196078431372549,TRUE,6.89759106989061,0.669423555684831
