"n_events","mu0_null","mu1_null","mu0_full","mu1_full","alpha_full","beta_full","loglik_null","loglik_full","LR","p_chisq","conv_null","conv_full","boot_id"
144,-0.599894057835879,0.629298409958329,-1.01214831445285,0.903442940782296,0.00970058532925163,0.0299296777975985,-207.366290317579,-206.548824830874,1.63493097340836,0.201022379955765,0,0,78
149,-0.543374425386719,0.530287945837726,-0.587893293222483,0.557016628138128,0.898023335933732,26.7713483629543,-214.343260933877,-212.237646766057,4.21122833564101,0.0401572479250355,0,0,79
169,-0.472501916183179,0.743377236495655,-0.578597975780042,0.799203033306609,0.0246303033981408,0.292626980095583,-208.778637724764,-208.571052602115,0.415170245297475,0.519356889551646,0,0,80
138,-0.67583213412198,0.745411639552534,-0.80621361291175,0.79947174477768,0.0408055270710911,0.37567042219096,-198.327265779809,-197.953398795496,0.747733968627301,0.3871946194046,0,0,81
151,-0.561823741874598,0.664954518763268,-0.648384518672474,0.708579732058327,0.0458230882288241,0.642051943453871,-208.301552742898,-208.006385541749,0.590334402298197,0.442289836554093,0,0,82
138,-0.633873932756758,0.593666792296872,-0.633811087028068,0.593714583516925,3.00360222347217e-05,1.76587120242437,-206.311532132034,-206.312068885999,0,1,0,0,83
142,-0.644926896677469,0.738344242121334,-0.689266245818911,0.74896820325767,0.0738007723511756,1.85924268346476,-200.446114756492,-200.250840216484,0.39054908001674,0.532010923151481,0,0,84
143,-0.667451404317008,0.824610070178791,-0.667397809215798,0.824544345618488,0.000287013676289603,9.81687136386006,-195.355249776168,-195.356375869179,0,1,0,0,85
148,-0.539396911854596,0.470851285835288,-0.539423178302866,0.470866596582504,0.000182489177346704,10.1354056136637,-216.397166356316,-216.397439969986,0,1,0,0,86
131,-0.68331816759873,0.582645857318464,-0.901079498017355,0.649874191410361,0.0342004172811155,0.184818318315585,-203.149050593004,-202.458457055257,1.38118707549376,0.239899048673205,0,0,87
164,-0.470497213373832,0.632006591229778,-0.47060367770807,0.631954990611063,0.000977855267086139,21.5350915210986,-214.686321006259,-214.687386789566,0,1,0,0,88
156,-0.517487619840481,0.620116193447966,-0.705405455373329,0.725278078308214,0.0325175288981317,0.220508166627771,-212.671603547347,-211.88278867306,1.57762974857513,0.209102439677589,0,0,89
137,-0.626038250793276,0.523488491405284,-0.62612940049776,0.523529349176399,1.85225555886935e-05,0.280302894950182,-208.862593116465,-208.862919360352,0,1,0,0,90
143,-0.698328662139217,0.90453556461089,-0.760202922643499,0.921620013733553,0.0698395588903045,1.31695717432576,-189.723669626239,-189.416800679258,0.613737893961172,0.433383888209185,0,0,91
143,-0.642168485500083,0.751115144256631,-0.642427656004752,0.751445666137111,0.00496303132358343,22.8885760714442,-200.058003169749,-200.050105657543,0.0157950244121139,0.899986613370492,0,0,92
144,-0.609340588770982,0.664787484600226,-0.60941947828026,0.664861259645691,9.1961468008562e-05,0.990453193108441,-205.482242967142,-205.483035454291,0,1,0,0,93
145,-0.569431533864584,0.524084835180192,-0.569743385564521,0.524087467125721,0.00286322304753636,10.4000269347904,-212.805648517782,-212.797896015141,0.0155050052814545,0.900904281581755,0,0,94
115,-0.874088997627638,0.793238544514737,-0.986677473313223,0.857136459846262,0.000791607403758644,0.00102937472560609,-183.827381336755,-183.627491035181,0.399780603149054,0.527202584271916,0,0,95
144,-0.629638903211149,0.733962711670909,-0.678299451332867,0.739337645378603,1.30283970540109,33.3670502569325,-201.514497991421,-198.550340215149,5.92831555254446,0.014899477274386,0,0,96
136,-0.677204781099648,0.702413671403014,-0.677249408311466,0.70250945689921,0.000524997149608967,5.01427040683342,-199.846726976853,-199.850055212164,0,1,0,0,97
156,-0.544288443430267,0.717054979229579,-0.544172804238058,0.716780165061003,0.000137971971134192,3.76854210776676,-206.918439385291,-206.919860013331,0,1,0,0,98
146,-0.607467636802355,0.706809697394608,-0.607570052438665,0.706731233079122,6.27747189183599e-05,0.668904260941204,-203.932643091664,-203.933552002602,0,1,0,0,99
157,-0.539527642835249,0.722349231927109,-0.708677426405322,0.831095679223212,0.0100157759798109,0.0764733377844347,-206.899987080173,-206.56206157624,0.675851007865447,0.41101908632987,0,0,100
