"gamma1_true","replicate","n_events","mu_hat","alpha_hat","beta_hat","branching_hat","neg_loglik","convergence"
1,2,206,0.354353896771987,0.32477611336016,0.493233886472306,0.658462693394843,165.045579654701,0
1,3,198,0.588233422211023,0.556020700761924,1.36548308183256,0.407197063192984,183.553042282888,0
1,4,151,0.265740321996073,0.170860425609554,0.261955139751424,0.652250708925537,181.87163115745,0
1,5,197,0.451581245770238,0.430503503709154,0.788358229609894,0.546075993805736,167.327463193393,0
1,6,238,0.394429771511844,0.36664921797719,0.542992526200573,0.675238056300162,159.935421236921,0
1,7,245,0.574390106717431,0.599984091456953,1.12432162435336,0.533640978222781,159.764717877532,0
1,8,198,0.642914841666933,0.336656520618068,0.955939566305549,0.352173434895216,190.146548004012,0
1,9,262,0.513653027146441,0.413961651250552,0.670536353572115,0.617358997831028,161.694015104267,0
1,10,216,0.381101930155247,0.967639147924132,1.49517069140202,0.64717637490391,128.51654701561,0
1,11,213,0.554215593631616,0.404020663438104,0.842337535964299,0.479642241011599,185.224932457362,0
1,12,282,0.710221671729159,0.762889726237842,1.5288520944917,0.498995114691904,145.27740184351,0
1,13,169,0.484738730414198,0.156665535312396,0.360545942615641,0.434523085118749,192.820487323522,0
1,14,207,0.462010802551648,0.742754392315998,1.33277177551685,0.557300511580807,157.59164173137,0
1,15,194,0.318558323388311,0.563308016969219,0.837849503847087,0.672326013660833,162.947657184226,0
1,16,246,0.341208365717041,0.912617307052771,1.26272520557915,0.722736271534389,69.5617069530763,0
1,17,179,0.521103774876215,0.727983273543877,1.73856518887632,0.418726475257675,174.729749533581,0
1,18,156,0.437097226759849,0.513184469024429,1.16738019465001,0.439603542510233,173.576497475964,0
1,19,211,0.545050107662582,0.528424738798719,1.0833968690422,0.487748076349791,175.681002597158,0
1,20,211,0.524453988445179,0.946331479649161,1.85767864088258,0.509416138412165,162.718556045562,0
1,21,232,0.613384097791671,0.673227055934548,1.42760713640857,0.471577255930636,169.854388863253,0
1,22,268,0.40598096695808,0.482711272523679,0.688211768880616,0.70139932844917,141.34352270356,0
1,23,229,0.467147008992056,0.452734301818632,0.760289375464868,0.595476296826868,159.606861815204,0
1,24,274,0.560172473218481,0.47822535345366,0.799398762637403,0.598231290571283,154.332500038381,0
1,25,179,0.411613299987787,0.59544305704456,1.0994800593622,0.54156785470941,165.640023051067,0
1,26,251,0.722081024323895,0.555110396052561,1.30695858840086,0.424734495016995,173.811055849779,0
1,27,235,0.611902717686985,0.497690955199954,1.03607682431145,0.480361053854002,176.372753200308,0
1,28,232,0.732777180678849,0.790823990266219,2.14714302760559,0.368314537084246,179.175909114207,0
1,29,176,0.4023915177368,0.375536218767415,0.684410345750991,0.548700382889955,176.206074918248,0
1,30,217,0.584218971444681,0.688378885891694,1.48626601270631,0.463159945801518,172.294082263553,0
1.25,1,304,0.57912933409107,1.08710624004235,1.75622517118623,0.619001627967824,90.3436916800107,0
1.25,2,285,0.411106205989989,0.909392139814442,1.25099307005769,0.726936192997861,105.535603441486,0
1.25,3,310,0.560151877829043,1.59684456333272,2.50034785151588,0.638648963329082,55.6926756904653,0
