"scenario","rep_id","mu0_true","mu1_true","alpha_true","beta_true","n_events","max_dN","mu0_hat","mu1_hat","alpha_hat","beta_hat","loglik_full","loglik_no_cov","loglik_no_hawkes","LR_cov","p_cov","LR_hawkes","p_hawkes","conv_full","conv_no_cov","conv_no_hawkes"
"no_covariate",75,-0.5,0,0.7,2.5,226,2,-0.389379447223843,0.0357224753192257,0.841990646288015,3.45772107656049,-235.520305020392,-235.57097970016,-248.792073369823,0.101349359535561,0.750216319680477,26.5435366988626,2.5766531827827e-07,0,0,0
"no_covariate",76,-0.5,0,0.7,2.5,206,2,-0.528922439665679,-0.0202286092190565,0.97631341204045,3.51096065624889,-225.255060829897,-225.271503776035,-245.716756645477,0.0328858922744644,0.856097039286411,40.9233916311586,1.5831485572678e-10,0,0,0
"no_covariate",77,-0.5,0,0.7,2.5,197,2,-0.553862146967562,0.0916645852295525,0.702536290418367,2.57332142868168,-229.520173807271,-229.806569472914,-243.059891288461,0.572791331285259,0.449151842848366,27.0794349623789,1.95264188244792e-07,0,0,0
"no_covariate",78,-0.5,0,0.7,2.5,249,2,-0.479019556127801,-0.0562435110736654,0.570682627825232,1.51022364365449,-227.894156358712,-228.000886609169,-249.989261266825,0.213460500913925,0.644068514341545,44.1902098162259,2.9796780117968e-11,0,0,0
"no_covariate",79,-0.5,0,0.7,2.5,185,1,-0.566575387196991,-0.0613932944994843,0.952938334130604,4.11325441464013,-226.868316512508,-226.991993944099,-240.667364951572,0.247354863182238,0.618943788801824,27.598096878127,1.49325615897114e-07,0,0,0
"no_covariate",80,-0.5,0,0.7,2.5,243,1,-0.377595284653298,-0.253180591621124,0.91582170335545,3.11868664461568,-224.192039870689,-226.542256172505,-244.341275397378,4.70043260363286,0.0301550263405858,40.2984710533783,2.17979501892498e-10,0,0,0
"no_covariate",81,-0.5,0,0.7,2.5,234,2,-0.383922755407637,-0.192985642682503,0.90799295662128,3.74524516354254,-232.635744462968,-233.896556386309,-247.329818483701,2.52162384668321,0.112294894197697,29.3881480414674,5.92388270786696e-08,0,0,0
"no_covariate",82,-0.5,0,0.7,2.5,181,2,-0.611145696110352,-0.174341858171708,1.06942497507608,4.44428097443569,-220.582840800228,-221.561567477347,-239.259463211528,1.95745335423783,0.1617859396983,37.3532448225995,9.85567666389338e-10,0,0,0
"no_covariate",83,-0.5,0,0.7,2.5,191,1,-0.685176189404825,-0.150085373456352,0.5605607310385,1.6435476673443,-228.695616208843,-229.24723635016,-242.375200026337,1.10324028263415,0.293556095879939,27.3591676349874,1.68961510047334e-07,0,0,0
"no_covariate",84,-0.5,0,0.7,2.5,219,2,-0.563369601172456,0.0462375845023952,0.758758308278547,2.19189891279066,-226.313615561194,-226.384845662704,-247.794081001706,0.142460203019425,0.705847384343362,42.9609308810225,5.58440091926925e-11,0,0,0
