"rep","case","path_min","path_max","n_events","true_gamma0","poisson_gamma0","hawkes_gamma0","true_gamma1","poisson_gamma1","hawkes_gamma1","true_alpha","est_alpha","true_beta","est_beta","true_branching","est_branching","poisson_loglik","hawkes_loglik","lrt_stat","poisson_convergence","hawkes_convergence","error"
6,"diffusion_negative_control",-3.56588363297779,2.44541812107942,210,-0.916290731874155,-0.895555865474395,-0.907721311954213,0.5,0.645041069184118,0.646367920700229,0,0.0213294389380895,1.5,1.83129290084778,0,0.0116472023280466,-353.997647883025,-353.969926020753,0.0554437245444888,0,0,FALSE
6,"diffusion_positive_control",-3.56588363297779,2.44541812107942,313,-0.916290731874155,-0.478974250734487,-1.22170861874327,0.5,0.586857797175876,0.655146778847769,0.6,0.707814159148243,1.5,1.3765246032613,0.4,0.514203783551178,-412.283421167664,-344.278300826831,136.010240681667,0,0,FALSE
7,"diffusion_negative_control",-2.44163367555167,3.13860834752826,271,-0.916290731874155,-0.857523559852413,-0.857563052669483,0.5,0.466110372871324,0.466121289338465,0,0.00093269139869813,1.5,22.0493105546388,0,4.23002522635298e-05,-414.222608151609,-414.22195599766,0.00130430789681668,0,0,FALSE
7,"diffusion_positive_control",-2.44163367555167,3.13860834752826,425,-0.916290731874155,-0.412666104049997,-1.03870925773192,0.5,0.473325013558839,0.5402387282417,0.6,0.500487842124745,1.5,1.14185763697059,0.4,0.438310193775617,-457.267190611973,-417.290536813728,79.9533075964905,0,0,FALSE
8,"diffusion_negative_control",-2.9276917378278,2.80204574422164,222,-0.916290731874155,-0.861377831263084,-1.19886317881328,0.5,0.455027320192701,0.613096359172158,0,0.0195820585923232,1.5,0.0763804190816052,0,0.256375375099757,-384.708361919897,-383.892400319138,1.63192320151973,0,0,FALSE
8,"diffusion_positive_control",-2.9276917378278,2.80204574422164,311,-0.916290731874155,-0.52677221671784,-1.2238319809434,0.5,0.46381134109582,0.614818507316962,0.6,0.469034868531822,1.5,0.985914732488418,0.4,0.475735733604459,-433.133030045963,-381.862195252017,102.541669587892,0,0,FALSE
9,"diffusion_negative_control",-3.18286491509286,3.06966292787165,220,-0.916290731874155,-0.991666214715161,-0.991655505143807,0.5,0.56092600738546,0.560974042450168,0,3.56387277487383e-05,1.5,1.22438150722856,0,2.91075351418922e-05,-369.512863105631,-369.513261258585,-0.000796305906987982,0,0,FALSE
9,"diffusion_positive_control",-3.18286491509286,3.06966292787165,340,-0.916290731874155,-0.52937378789159,-0.982631538683479,0.5,0.510403337318007,0.542237177863352,0.6,0.486973294373956,1.5,1.37664830322268,0.4,0.353738346412784,-431.232992591081,-401.794475243812,58.8770346945383,0,0,FALSE
10,"diffusion_negative_control",-2.7073643667919,3.09815855763761,242,-0.916290731874155,-0.851803402658556,-0.851790303231291,0.5,0.399261928733435,0.399313949098107,0,6.11338261390981e-05,1.5,4.65966896384831,0,1.31197788111989e-05,-399.410869628461,-399.411378642742,-0.00101802856181621,0,0,FALSE
10,"diffusion_positive_control",-2.7073643667919,3.09815855763761,368,-0.916290731874155,-0.546364307480365,-0.778866263662131,0.5,0.590381176327328,0.583214860716632,0.6,0.357330367214191,1.5,1.69097301840782,0.4,0.211316421565759,-420.115476511813,-410.403753397581,19.4234462284644,0,0,FALSE
