"rep","case","n_events","true_gamma0","poisson_gamma0","hawkes_gamma0","true_gamma1","poisson_gamma1","hawkes_gamma1","true_alpha","est_alpha","true_beta","est_beta","true_branching","est_branching","poisson_loglik","hawkes_loglik","lrt_stat","poisson_convergence","hawkes_convergence","error"
45,"covariate_negative_control",305,-0.693147180559945,-0.702833184213973,-0.76761664312429,0.8,0.937076355994128,0.930614199305475,0,0.0598114700456897,1.5,0.913260834548515,0,0.0654922096547132,-398.281432926686,-397.82549679473,0.911872263913324,0,0,FALSE
45,"covariate_positive_control",505,-0.693147180559945,-0.196311026724765,-0.617116951297028,0.8,0.931692684092614,0.937801521169481,0.6,0.487462414272595,1.5,1.42464838377026,0.4,0.342163315401763,-405.742481149875,-378.317780243122,54.8494018135071,0,0,FALSE
46,"covariate_negative_control",283,-0.693147180559945,-0.761294889785759,-0.783071003922474,0.8,0.897677638610045,0.897911279306211,0,0.164942664975733,1.5,7.69096355869588,0,0.0214462939158304,-394.552640262794,-394.160008201753,0.785264122082481,0,0,FALSE
46,"covariate_positive_control",528,-0.693147180559945,-0.14027211474269,-0.803982757172275,0.8,0.904081307178591,0.890410234032913,0.6,0.710630004074972,1.5,1.45315250070783,0.4,0.489026446796758,-405.692912542915,-342.096388061125,127.19304896358,0,0,FALSE
47,"covariate_negative_control",277,-0.693147180559945,-0.684261326164059,-0.688942273649746,0.8,0.619274603092155,0.617346877828176,0,0.14084901268134,1.5,27.1760709743091,0,0.00518283208836523,-415.818967403041,-415.749239377951,0.139456050179547,0,0,FALSE
47,"covariate_positive_control",448,-0.693147180559945,-0.222399581840549,-0.642979480776239,0.8,0.680507868926195,0.695911575062101,0.6,0.441528418879273,1.5,1.29624618874578,0.4,0.340620803912631,-449.478020357968,-426.024961252494,46.9061182109479,0,0,FALSE
48,"covariate_negative_control",302,-0.693147180559945,-0.666800404481055,-0.7626065808389,0.8,0.822891831444981,0.832747386185138,0,0.0201561115552184,1.5,0.227574763702942,0,0.0885691859117058,-408.903703430441,-408.639506911731,0.528393037420187,0,0,FALSE
48,"covariate_positive_control",505,-0.693147180559945,-0.136309271315482,-0.667656077244911,0.8,0.778843738107745,0.813113970196476,0.6,0.725288809420945,1.5,1.79198983560656,0.4,0.40473935454854,-431.220715238765,-383.259976629832,95.9214772178666,0,0,FALSE
49,"covariate_negative_control",311,-0.693147180559945,-0.677331339692298,-0.677286021757333,0.8,0.922775816875567,0.922785195994588,0,0.000120637931228215,1.5,11.823879715127,0,1.02029058257312e-05,-401.588133399516,-401.588537793278,-0.000808787524192667,0,0,FALSE
49,"covariate_positive_control",486,-0.693147180559945,-0.177426799100351,-0.747839732452727,0.8,0.786444625979597,0.733546859757697,0.6,0.913022359386596,1.5,2.04925949163385,0.4,0.445537699405093,-432.471890220065,-367.554372916391,129.835034607346,0,0,FALSE
50,"covariate_negative_control",311,-0.693147180559945,-0.616402390442199,-0.733802784457385,0.8,0.76586467072382,0.835427296598165,0,0.00309819502075348,1.5,0.0342826133222605,0,0.0903721951308114,-417.586277142444,-417.463975770778,0.244602743330802,0,0,FALSE
50,"covariate_positive_control",450,-0.693147180559945,-0.201021768033658,-0.561620844362299,0.8,0.625973884959604,0.661142708173637,0.6,0.607700086957889,1.5,2.05822688844133,0.4,0.295254177452756,-456.349156941295,-429.975156971226,52.7479999401378,0,0,FALSE
