"rep","case","n_events","true_alpha","est_alpha","true_beta","est_beta","true_branching","est_branching","poisson_loglik","hawkes_loglik","lrt_stat","convergence","error"
19,"td_baseline_positive_control",475,0.6,0.432117358101142,1.5,0.972153773661091,0.4,0.444494862653061,-539.218737291972,-437.223111784011,203.991251015922,0,FALSE
20,"td_baseline_negative_control",262,0,0.0407524830398661,1.5,0.697834319400605,0,0.0583985079364825,-418.909152605698,-418.10653372484,1.60523776171544,0,FALSE
20,"td_baseline_positive_control",440,0.6,0.763397412575779,1.5,1.77513077382904,0.4,0.430051365133564,-524.219712080077,-410.152243702574,228.134936755006,0,FALSE
21,"td_baseline_negative_control",255,0,0.000728456860931584,1.5,0.0230886525975384,0,0.0315504275467876,-414.417669567637,-414.278326706684,0.278685721906868,0,FALSE
21,"td_baseline_positive_control",515,0.6,0.587462952726953,1.5,1.12747858902553,0.4,0.521041338119503,-566.892136470268,-388.956110965705,355.872051009126,0,FALSE
22,"td_baseline_negative_control",243,0,0.000853071706156003,1.5,0.241719812061382,0,0.00352917577951523,-408.289529022618,-408.287096869048,0.0048643071402239,0,FALSE
22,"td_baseline_positive_control",434,0.6,0.619264954004814,1.5,1.45019941808914,0.4,0.42702055060868,-522.185411511799,-418.334180049516,207.702462924567,0,FALSE
23,"td_baseline_negative_control",220,0,0.58360371286886,1.5,54.5987406242024,0,0.0106889592359968,-388.721845234952,-388.196847800565,1.04999486877296,0,FALSE
23,"td_baseline_positive_control",447,0.6,0.3268387848823,1.5,0.788240767452723,0.4,0.414643340433294,-533.985423282704,-454.178811250568,159.613224064271,0,FALSE
24,"td_baseline_negative_control",243,0,0.00210171586578522,1.5,0.993154128811324,0,0.00211620311975212,-405.570283205112,-405.568693000139,0.00318040994613966,0,FALSE
24,"td_baseline_positive_control",543,0.6,0.666136115215405,1.5,1.27870996694925,0.4,0.520943867204442,-586.880194602048,-392.085386084551,389.589617034995,0,FALSE
25,"td_baseline_negative_control",241,0,0.462888936234578,1.5,26.5168572073817,0,0.0174564026428335,-401.004320743043,-400.187106259788,1.63442896650849,0,FALSE
25,"td_baseline_positive_control",375,0.6,0.372025093324985,1.5,1.03664150702233,0.4,0.358875359326097,-479.425153015546,-424.40816930771,110.033967415673,0,FALSE
26,"td_baseline_negative_control",234,0,1.21175419698533,1.5,94.1280657364552,0,0.0128734632705411,-397.343984574716,-396.312927299929,2.06211454957304,0,FALSE
26,"td_baseline_positive_control",426,0.6,0.532744281131376,1.5,1.28099795715706,0.4,0.4158822253813,-536.977741903064,-446.287670853739,181.380142098652,0,FALSE
27,"td_baseline_negative_control",261,0,0.384740452031171,1.5,54.1148238821332,0,0.00710970533451554,-426.289825886353,-425.971006739651,0.637638293404734,0,FALSE
27,"td_baseline_positive_control",382,0.6,0.767793969100094,1.5,1.95579655722319,0.4,0.392573535455137,-473.415977401571,-392.919905212057,160.992144379029,0,FALSE
28,"td_baseline_negative_control",246,0,0.00164218085146828,1.5,8.98460517517551,0,0.00018277718602545,-414.311696790465,-414.311646907391,9.97661484234413e-05,0,FALSE
28,"td_baseline_positive_control",409,0.6,0.389431403269592,1.5,1.04098085466385,0.4,0.374100447212689,-487.894864886271,-426.750138800471,122.289452171599,0,FALSE
29,"td_baseline_negative_control",253,0,0.00867554848795038,1.5,0.298239349938242,0,0.0290892147188051,-407.373004694365,-407.235326180933,0.275357026864185,0,FALSE
29,"td_baseline_positive_control",376,0.6,0.55933820540046,1.5,1.46794588990438,0.4,0.381034620722221,-516.214217301122,-437.772087791107,156.884259020029,0,FALSE
30,"td_baseline_negative_control",248,0,1.05908197078243e-10,1.5,6453653.54957143,0,1.64105798776999e-17,-408.62435110852,-408.62435110852,-1.13686837721616e-13,0,FALSE
30,"td_baseline_positive_control",342,0.6,0.693918242256989,1.5,2.35652743353079,0.4,0.294466439211909,-470.734624980653,-422.063763032974,97.3417238953571,0,FALSE
31,"td_baseline_negative_control",267,0,2.19220768583823e-11,1.5,3832427.70947471,0,5.72015404339801e-18,-412.821441878187,-412.821441878188,-1.13686837721616e-13,0,FALSE
31,"td_baseline_positive_control",381,0.6,0.676276370565252,1.5,1.7907622101638,0.4,0.377647220120528,-495.996390544214,-412.763212411187,166.466356266054,0,FALSE
32,"td_baseline_negative_control",247,0,0.00587050335534571,1.5,0.190329437317866,0,0.0308439064291536,-397.552370155517,-397.405767179607,0.293205951821164,0,FALSE
32,"td_baseline_positive_control",441,0.6,0.87513942989433,1.5,2.01115071320792,0.4,0.435143634013596,-557.667166968171,-419.41007479438,276.514184347582,0,FALSE
33,"td_baseline_negative_control",251,0,0.0118364444999382,1.5,0.605519556876046,0,0.0195475841622753,-406.051421321991,-405.971705292233,0.159432059516007,0,FALSE
33,"td_baseline_positive_control",443,0.6,0.617384758547385,1.5,1.42203151210228,0.4,0.434156875774621,-498.648388774775,-388.93990673418,219.41696408119,0,FALSE
34,"td_baseline_negative_control",234,0,0.0802121512751188,1.5,3.05490057899905,0,0.0262568778265774,-397.496093569956,-397.177045376359,0.638096387193514,0,FALSE
